VBELN,WAERS,VKORG,KUNNR,CTLPC,LFART,AMTBL
500000066,TWD,1005,100007,R01,ZLF,"41,834"
500000067,TWD,1001,100133,R01,ZLF,"31,834"
500000068,USD,1002,2902,R99,ZLF,0
500000069,USD,2002,1002,,ZNLC,0
500000070,USD,1004,100336,R01,ZLF,0
500000071,TWD,1005,100012,R01,ZLF,0
500000072,USD,1004,100255,R01,ZLF,0
500000073,TWD,1005,100012,R01,ZLF,0
500000074,TWD,1005,100012,R01,ZLF,"26,095"
500000075,TWD,1005,100008,R01,ZLF,0
500000076,USD,1004,100255,R01,ZLF,0
500000077,TWD,1005,100008,R01,ZLF,0
500000078,USD,2002,1002,,ZNLC,0
500000079,TWD,1005,100007,R01,ZLF,0
500000080,TWD,1001,100124,R01,ZLF,"16,840"
500000081,TWD,1005,100011,R01,ZLF,0
500000082,USD,2002,1002,,ZNLC,0
500000083,USD,2002,1002,,ZNLC,0
500000084,TWD,1001,100125,R01,ZLF,"47,063"
500000085,USD,1002,2902,R99,ZLF,0
500000086,TWD,1001,100132,R01,ZLF,0
500000087,EUR,1004,100283,R01,ZLF,0
500000088,USD,1003,100182,R01,ZLF,0
500000089,USD,1003,100178,R01,ZLF,"6,997,746"
500000090,USD,1003,100183,R01,ZLF,0
500000091,USD,1003,100176,R01,ZLF,0
500000092,USD,1003,100179,R01,ZLF,0
500000093,TWD,1003,100188,R01,ZLF,0
500000094,USD,1004,100302,R01,ZLF,0
500000095,TWD,1005,100012,R01,ZLF,0
500000096,TWD,1005,100014,R01,ZLF,0
500000097,TWD,1005,100018,R01,ZLF,"28,900"
500000098,TWD,1005,100012,R01,ZLF,0
500000099,USD,1001,100314,R01,ZLF,0
500000100,USD,1002,100200,R01,ZLF,0
500000101,TWD,1005,100007,R01,ZLF,0
500000102,TWD,1005,100024,R01,ZLF,0
500000103,USD,1004,100269,R01,ZLF,0
500000104,USD,1002,100200,R01,ZLF,0
500000105,USD,1004,100279,R01,ZLF,0
500000106,TWD,1005,100008,R01,ZLF,0
500000107,USD,1002,2002,,ZNLC,0
500000108,USD,1004,100223,R01,ZLF,0
500000109,USD,1001,100033,R01,ZLF,0
500000110,USD,1001,100118,R01,ZLF,0
500000111,USD,1005,100021,R01,ZLF,0
500000112,USD,1001,100118,R01,ZLF,0
500000113,USD,1001,100118,R01,ZLF,0
500000114,USD,1002,100201,R01,ZLF,0
500000115,USD,1002,100201,R01,ZLF,0
500000116,USD,1002,100201,R01,ZLF,0
500000117,USD,2002,100208,R01,ZLF,0
500000118,USD,2002,100208,R01,ZLF,0
500000119,USD,2002,100208,R01,ZLF,0
500000120,USD,2002,100208,R01,ZLF,0
500000121,USD,2002,100208,R01,ZLF,0
500000122,USD,1002,2002,,ZNLC,0
500000123,USD,2002,1002,,ZNLC,0
500000124,USD,1002,2002,,ZNLC,0
500000125,TWD,1006,1002,,ZNL,0
500000126,TWD,1007,1001,,ZNL,0
500000127,USD,1003,100182,R01,ZLF,0
500000128,USD,1003,100182,R01,ZLF,0
500000129,USD,1003,100178,R01,ZLF,0
500000130,USD,1003,100179,R01,ZLF,0
500000131,USD,1003,100176,R01,ZLF,0
500000132,USD,1003,100182,R01,ZLF,0
500000133,TWD,1006,100310,R01,ZLF,0
500000134,TWD,1005,100015,R01,ZLF,0
500000135,TWD,1005,100014,R01,ZLF,0
500000136,TWD,1002,1006,,ZNL,0
500000137,TWD,1005,100018,R01,ZLF,"134,377"
500000138,EUR,1004,100283,R01,ZLF,0
500000139,USD,2002,1002,,ZNLC,0
500000140,USD,1003,100179,R01,ZLF,0
500000141,USD,1003,100178,R01,ZLF,0
500000142,USD,2002,1002,,ZNLC,0
500000143,USD,1002,2902,R99,ZLF,0
500000144,USD,2002,100207,R01,ZLF,0
500000145,USD,1001,100034,R01,ZLF,0
500000146,USD,1002,2902,R99,ZLF,0
500000147,USD,2002,100207,R01,ZLF,0
500000148,USD,1002,2902,R99,ZLF,0
500000149,USD,2002,100207,R01,ZLF,0
500000150,USD,1002,2902,R99,ZLF,0
500000151,USD,2002,100207,R01,ZLF,0
500000152,TWD,1002,1006,,ZNL,0
500000153,USD,1002,100203,R01,ZLF,"2,385,846"
500000154,USD,1002,2902,R99,ZLF,0
500000155,USD,2002,100207,R01,ZLF,0
500000156,USD,1007,100036,R01,ZLF,"523,057"
500000157,USD,1004,100255,R01,ZLF,0
500000158,USD,1007,100036,R01,ZLF,"168,088"
500000159,USD,1007,100036,R01,ZLF,0
500000160,USD,1001,100118,R01,ZLF,0
500000161,TWD,1003,100188,R01,ZLF,0
500000162,USD,1001,100118,R01,ZLF,0
500000163,USD,1001,100118,R01,ZLF,0
500000164,USD,1002,100198,R01,ZLF,0
500000165,USD,1002,100198,R01,ZLF,0
500000166,USD,1001,100118,R01,ZLF,0
500000167,USD,1004,100336,R01,ZLF,0
500000168,USD,1002,2902,R99,ZLF,0
500000169,USD,2002,100208,R01,ZLF,0
500000170,USD,2002,1002,,ZNLC,0
500000171,USD,2002,1002,,ZNLC,0
500000172,TWD,1005,100012,R01,ZLF,0
500000173,TWD,1005,100011,R01,ZLF,0
500000174,USD,1004,100315,R01,ZLF,0
500000175,USD,2002,1002,,ZNLC,0
500000176,USD,1001,100118,R01,ZLF,0
500000177,TWD,1001,100133,R01,ZLF,"10,188"
500000178,USD,1005,100020,R01,ZLF,"234,016"
500000179,USD,1004,100273,R01,ZLF,"351,753"
500000180,USD,1001,100172,R01,ZLF,0
500000181,USD,2002,100207,R01,ZLF,0
500000182,USD,1005,100019,R01,ZLF,0
500000183,USD,1001,100167,R01,ZLF,0
500000184,USD,2002,100213,R01,ZLF,0
500000185,USD,1002,2902,R99,ZLF,0
500000186,USD,2002,100207,R01,ZLF,0
500000187,USD,1001,100314,R01,ZLF,0
500000188,USD,1001,100352,R01,ZLF,0
500000189,USD,1001,100170,R01,ZLF,0
500000190,USD,1001,100173,R01,ZLF,0
500000191,USD,1001,100025,R01,ZLF,0
500000192,USD,2002,100207,R01,ZLF,0
500000193,USD,1001,100118,R01,ZLF,0
500000194,TWD,1005,100004,R01,ZLF,0
500000195,TWD,1005,100018,R01,ZLF,"56,557"
500000196,USD,1002,100197,R01,ZLF,"974,902"
500000197,USD,1001,100118,R01,ZLF,0
500000198,USD,1001,100118,R01,ZLF,0
500000199,USD,1001,100118,R01,ZLF,0
500000200,TWD,1006,1002,,ZNL,0
500000201,USD,2002,100207,R01,ZLF,0
500000202,USD,2002,100207,R01,ZLF,0
500000203,USD,2002,100207,R01,ZLF,0
500000204,USD,1002,2902,R99,ZLF,0
500000205,USD,2002,100207,R01,ZLF,0
500000206,USD,1002,100201,R01,ZLF,0
500000207,USD,2002,100208,R01,ZLF,0
500000208,USD,2002,100208,R01,ZLF,0
500000209,USD,1002,2002,,ZNLC,0
500000210,USD,1003,100176,R01,ZLF,0
500000211,USD,1003,100178,R01,ZLF,0
500000212,USD,1003,100179,R01,ZLF,0
500000213,TWD,1006,100310,R01,ZLF,0
500000214,USD,1002,2002,,ZNLC,0
500000215,TWD,1005,100013,R01,ZLF,0
500000216,TWD,1005,100013,R01,ZLF,0
500000217,USD,1002,100198,R01,ZLF,0
500000218,JPY,1002,100195,R01,ZLF,0
500000219,USD,2002,100207,R01,ZLF,0
500000220,TWD,1005,100007,R01,ZLF,"17,898"
500000221,TWD,1005,100015,R01,ZLF,0
500000222,USD,1004,100287,R01,ZLF,0
500000223,USD,1004,100281,R01,ZLF,0
500000224,TWD,1005,100018,R01,ZLF,"67,658"
500000225,USD,1007,100036,R01,ZLF,"72,470"
500000226,USD,1002,100197,R01,ZLF,0
500000227,USD,1007,100036,R01,ZLF,0
500000228,USD,1007,100036,R01,ZLF,"3,097"
500000229,USD,1007,100036,R01,ZLF,0
500000230,USD,1007,100036,R01,ZLF,0
500000231,USD,1007,100036,R01,ZLF,0
500000232,USD,1007,100036,R01,ZLF,0
500000233,USD,1005,100016,R01,ZLF,0
500000234,USD,2002,1002,,ZNLC,0
500000235,USD,2002,1002,,ZNLC,0
500000236,USD,1002,2902,R99,ZLF,0
500000237,TWD,1005,100003,R01,ZLF,0
500000238,TWD,1005,100014,R01,ZLF,0
500000239,TWD,1007,1002,,ZNL,0
500000240,USD,1001,100118,R01,ZLF,0
500000241,USD,1001,100118,R01,ZLF,0
500000242,USD,1005,100022,R01,ZLF,"387,808"
500000243,USD,1001,100118,R01,ZLF,0
500000244,USD,1001,100118,R01,ZLF,0
500000245,USD,1004,100218,R01,ZLF,0
500000246,USD,1004,100217,R01,ZLF,0
500000247,USD,1004,100246,R01,ZLF,0
500000248,USD,1002,2902,R99,ZLF,0
500000249,USD,1003,100178,R01,ZLF,0
500000250,USD,1004,100270,R01,ZLF,0
500000251,USD,1002,2902,R99,ZLF,0
500000252,USD,2002,100207,R01,ZLF,0
500000253,USD,1002,2902,R99,ZLF,0
500000254,USD,1002,2902,R99,ZLF,0
500000255,TWD,1005,100014,R01,ZLF,0
500000256,TWD,1005,100024,R01,ZLF,0
500000257,TWD,1005,100012,R01,ZLF,0
500000258,TWD,1005,100012,R01,ZLF,0
500000259,TWD,1005,100013,R01,ZLF,0
500000260,TWD,1001,100133,R01,ZLF,"35,067"
500000261,USD,1001,100118,R01,ZLF,0
500000262,USD,1002,2002,,ZNLC,0
500000263,EUR,1004,100254,R01,ZLF,0
500000264,USD,1002,2902,R99,ZLF,0
500000265,USD,2002,100207,R01,ZLF,0
500000266,USD,1002,2902,R99,ZLF,0
500000267,USD,2002,100207,R01,ZLF,0
500000268,TWD,1005,100001,R01,ZLF,0
500000269,USD,1001,100173,R01,ZLF,0
500000270,TWD,1005,100013,R01,ZLF,0
500000271,TWD,1001,1007,,ZNL,0
500000272,TWD,1001,100133,R01,ZLF,"19,320"
500000273,TWD,1001,100133,R01,ZLF,"9,096"
500000274,EUR,1004,100283,R01,ZLF,0
500000275,TWD,1005,100011,R01,ZLF,0
500000276,TWD,1001,100133,R01,ZLF,0
500000277,TWD,1001,100133,R01,ZLF,"13,390"
500000278,USD,1003,100179,R01,ZLF,0
500000279,USD,1003,100179,R01,ZLF,0
500000280,USD,1005,100020,R01,ZLF,0
500000281,USD,1005,100022,R01,ZLF,"333,520"
500000282,USD,2002,100207,R01,ZLF,0
500000283,USD,2002,100213,R01,ZLF,0
500000284,TWD,1005,100018,R01,ZLF,"43,999"
500000285,TWD,1005,100007,R01,ZLF,"10,899"
500000286,TWD,1006,100310,R01,ZLF,0
500000287,TWD,1006,100310,R01,ZLF,0
500000288,USD,1001,100118,R01,ZLF,0
500000289,USD,1001,100118,R01,ZLF,0
500000290,USD,2002,1002,,ZNLC,0
500000291,USD,2002,1002,,ZNLC,0
500000292,USD,1001,100118,R01,ZLF,0
500000293,USD,2002,1002,,ZNLC,0
500000294,USD,2002,100207,R01,ZLF,0
500000295,USD,1005,100022,R01,ZLF,"499,385"
500000296,USD,1005,100019,R01,ZLF,0
500000297,USD,1007,100036,R01,ZLF,0
500000298,TWD,1005,100004,R01,ZLF,"33,054"
500000299,USD,1007,100036,R01,ZLF,0
500000300,USD,2002,100207,R01,ZLF,0
500000301,USD,1007,100036,R01,ZLF,0
500000302,USD,2002,100207,R01,ZLF,0
500000303,USD,1007,100036,R01,ZLF,0
500000304,USD,2002,100207,R01,ZLF,0
500000305,USD,2002,100207,R01,ZLF,0
500000306,USD,2002,100207,R01,ZLF,0
500000307,USD,1001,100170,R01,ZLF,0
500000308,USD,1002,100195,R01,ZLF,0
500000309,USD,2002,1002,,ZNLC,0
500000310,USD,2002,1002,,ZNLC,0
500000311,TWD,1005,100024,R01,ZLF,0
500000312,TWD,1005,100024,R01,ZLF,0
500000313,USD,1004,100296,R01,ZLF,0
500000314,TWD,1005,100013,R01,ZLF,0
500000315,TWD,1005,100014,R01,ZLF,0
500000316,TWD,1005,100007,R01,ZLF,"19,900"
500000317,TWD,1005,100018,R01,ZLF,"41,477"
500000318,TWD,1005,100024,R01,ZLF,0
500000319,USD,1005,100010,R01,ZLF,"152,795"
500000320,TWD,1011,1004,,ZNL,0
500000321,TWD,1011,1004,,ZNL,0
500000322,TWD,1002,1006,,ZNL,0
500000323,TWD,1002,1006,,ZNL,0
500000324,USD,1001,100118,R01,ZLF,0
500000325,TWD,1005,100012,R01,ZLF,"22,050"
500000326,TWD,1005,100013,R01,ZLF,0
500000327,USD,1005,100021,R01,ZLF,"597,177"
500000328,USD,1003,100179,R01,ZLF,0
500000329,USD,1003,100179,R01,ZLF,0
500000330,USD,1003,100178,R01,ZLF,"2,311,348"
500000331,USD,1003,100178,R01,ZLF,0
500000332,USD,1001,100118,R01,ZLF,0
500000333,USD,2002,100207,R01,ZLF,0
500000334,USD,2002,100207,R01,ZLF,0
500000335,USD,1002,2902,R99,ZLF,0
500000336,USD,2002,100208,R01,ZLF,0
500000337,TWD,1001,100133,R01,ZLF,0
500000338,USD,2002,100208,R01,ZLF,0
500000339,USD,2002,100208,R01,ZLF,0
500000340,USD,2002,1002,,ZNLC,0
500000341,USD,2002,1002,,ZNLC,0
500000342,USD,1002,2902,R99,ZLF,0
500000343,USD,2002,100208,R01,ZLF,0
500000344,USD,2002,1002,,ZNLC,0
500000345,USD,1001,100034,R01,ZLF,0
500000346,TWD,1011,1002,,ZNL,0
500000347,USD,1003,100178,R01,ZLF,"3,585,584"
500000348,USD,1003,100178,R01,ZLF,0
500000349,EUR,1001,100154,R01,ZLF,0
500000350,TWD,1001,100127,R01,ZLF,0
500000351,USD,1001,100153,R01,ZLF,0
500000352,TWD,1005,100004,R01,ZLF,"21,853"
500000353,TWD,1005,100007,R01,ZLF,"9,400"
500000354,USD,1004,100255,R01,ZLF,0
500000355,USD,1004,100255,R01,ZLF,0
500000356,USD,1004,100255,R01,ZLF,0
500000357,USD,1002,2902,R99,ZLF,0
500000358,USD,1002,100201,R01,ZLF,0
500000359,TWD,1007,1001,,ZNL,0
500000360,USD,1003,100182,R01,ZLF,0
500000361,USD,1002,2002,,ZNLC,0
500000362,USD,1001,100118,R01,ZLF,0
500000363,TWD,1002,1006,,ZNL,0
500000364,USD,1002,2002,,ZNLC,0
500000365,USD,1001,100118,R01,ZLF,0
500000366,USD,1005,100019,R01,ZLF,0
500000367,USD,1001,100118,R01,ZLF,0
500000368,USD,1003,100179,R01,ZLF,0
500000369,TWD,1005,100013,R01,ZLF,0
500000370,TWD,1005,100018,R01,ZLF,"38,802"
500000371,USD,1001,100118,R01,ZLF,0
500000372,USD,1001,100118,R01,ZLF,0
500000373,USD,1001,100118,R01,ZLF,0
500000374,USD,1001,100118,R01,ZLF,0
500000375,USD,1001,100118,R01,ZLF,0
500000376,USD,1001,100118,R01,ZLF,0
500000377,USD,1001,100118,R01,ZLF,0
500000378,USD,1001,100118,R01,ZLF,0
500000379,USD,1001,100118,R01,ZLF,0
500000380,USD,1001,100118,R01,ZLF,0
500000381,USD,1001,100118,R01,ZLF,0
500000382,USD,1001,100118,R01,ZLF,0
500000383,USD,1001,100118,R01,ZLF,0
500000384,USD,1001,100118,R01,ZLF,0
500000385,USD,1001,100118,R01,ZLF,0
500000386,USD,1004,100290,R01,ZLF,0
500000387,TWD,1006,1002,,ZNL,0
500000388,TWD,1006,100310,R01,ZLF,0
500000389,TWD,1002,1006,,ZNL,0
500000390,USD,1001,100033,R01,ZLF,0
500000391,USD,1001,100118,R01,ZLF,0
500000392,USD,1003,100178,R01,ZLF,"11,856,670"
500000393,USD,1001,100118,R01,ZLF,0
500000394,USD,1001,100118,R01,ZLF,0
500000395,USD,1003,100178,R01,ZLF,"15,609"
500000396,USD,2002,100208,R01,ZLF,0
500000397,TWD,1005,100013,R01,ZLF,0
500000398,TWD,1007,100356,R01,ZLF,0
500000399,USD,1001,100034,R01,ZLF,0
500000400,USD,1004,100280,R01,ZLF,0
500000401,USD,2002,100207,R01,ZLF,0
500000402,TWD,1005,100018,R01,ZLF,"87,828"
500000403,TWD,1005,100007,R01,ZLF,"29,560"
500000404,USD,1005,100016,R01,ZLF,0
500000405,USD,1002,2902,R99,ZLF,0
500000406,USD,1002,2902,R99,ZLF,0
500000407,USD,1002,2902,R99,ZLF,0
500000408,USD,1002,2902,R99,ZLF,0
500000409,TWD,1005,100008,R01,ZLF,0
500000410,USD,1001,100034,R01,ZLF,0
500000411,USD,1005,100023,R01,ZLF,0
500000412,USD,1005,100023,R01,ZLF,0
500000413,USD,2002,1002,,ZNLC,0
500000414,USD,1005,100020,R01,ZLF,0
500000415,USD,1003,100179,R01,ZLF,0
500000416,TWD,1005,100014,R01,ZLF,0
500000417,TWD,1005,100013,R01,ZLF,0
500000418,EUR,1004,100271,R01,ZLF,0
500000419,USD,1005,100020,R01,ZLF,"93,435"
500000420,USD,2002,1002,,ZNLC,0
500000421,USD,2002,1002,,ZNLC,0
500000422,TWD,1005,100012,R01,ZLF,0
500000423,TWD,1005,100011,R01,ZLF,0
500000424,TWD,1005,100008,R01,ZLF,0
500000425,USD,1004,100255,R01,ZLF,0
500000426,USD,1004,100255,R01,ZLF,0
500000427,TWD,1005,100008,R01,ZLF,0
500000428,TWD,1005,100007,R01,ZLF,"19,748"
500000429,USD,1002,2902,R99,ZLF,0
500000430,USD,1002,2902,R99,ZLF,0
500000431,USD,2002,100207,R01,ZLF,0
500000432,TWD,1005,100011,R01,ZLF,0
500000433,USD,1001,100034,R01,ZLF,0
500000434,USD,1005,100019,R01,ZLF,0
500000435,TWD,1001,1007,,ZNL,0
500000436,TWD,1001,1007,,ZNL,0
500000437,TWD,1005,100014,R01,ZLF,0
500000438,TWD,1005,100024,R01,ZLF,"87,780"
500000439,USD,1005,100022,R01,ZLF,"335,652"
500000440,TWD,1005,100014,R01,ZLF,0
500000441,TWD,1005,100012,R01,ZLF,0
500000442,TWD,1006,1002,,ZNL,0
500000443,USD,1004,100255,R01,ZLF,0
500000444,USD,1002,100201,R01,ZLF,0
500000445,USD,2002,100207,R01,ZLF,0
500000446,USD,2002,100213,R01,ZLF,0
500000447,USD,1002,2002,,ZNLC,0
500000448,USD,2002,1002,,ZNLC,0
500000449,USD,1002,2902,R99,ZLF,0
500000450,USD,1002,100201,R01,ZLF,0
500000451,TWD,1006,1002,,ZNL,0
500000452,TWD,1007,100042,R01,ZLF,0
500000453,USD,1002,100198,R01,ZLF,0
500000454,USD,1002,100198,R01,ZLF,0
500000455,TWD,1005,100015,R01,ZLF,0
500000456,TWD,1005,100012,R01,ZLF,0
500000457,TWD,1001,1007,,ZNL,0
500000458,TWD,1007,1001,,ZNL,0
500000459,USD,1001,100171,R01,ZLF,0
500000460,USD,1001,100170,R01,ZLF,0
500000461,EUR,1001,100351,R01,ZLF,0
500000462,USD,1001,100118,R01,ZLF,0
500000463,USD,1001,100027,R01,ZLF,0
500000464,USD,1001,100030,R01,ZLF,0
500000465,USD,1001,100033,R01,ZLF,0
500000466,EUR,1001,100154,R01,ZLF,0
500000467,USD,1003,100179,R01,ZLF,0
500000468,USD,1003,100176,R01,ZLF,0
500000469,TWD,1005,100018,R01,ZLF,"144,230"
500000470,TWD,1001,100125,R01,ZLF,"94,364"
500000471,TWD,1001,100137,R01,ZLF,0
500000472,TWD,1001,100137,R01,ZLF,0
500000473,TWD,1001,100137,R01,ZLF,0
500000474,TWD,1001,100133,R01,ZLF,0
500000475,TWD,1001,100133,R01,ZLF,0
500000476,TWD,1005,100018,R01,ZLF,"3,192"
500000477,USD,1005,100021,R01,ZLF,0
500000478,TWD,1007,1001,,ZNL,0
500000479,TWD,1007,100097,R01,ZLF,0
500000480,USD,2002,100207,R01,ZLF,0
500000481,USD,1002,2902,R99,ZLF,0
500000482,USD,2002,100208,R01,ZLF,0
500000483,USD,2002,100208,R01,ZLF,0
500000484,TWD,1001,100135,R01,ZLF,"10,028"
500000485,TWD,1002,1007,,ZNL,0
500000486,USD,1002,2902,R99,ZLF,0
500000487,USD,2002,100207,R01,ZLF,0
500000488,TWD,1005,100015,R01,ZLF,0
500000489,TWD,1005,100011,R01,ZLF,0
500000490,TWD,1005,100004,R01,ZLF,"24,780"
500000491,TWD,1005,100013,R01,ZLF,0
500000492,USD,1004,100350,R01,ZLF,0
500000493,USD,1001,100034,R01,ZLF,0
500000494,USD,1001,100118,R01,ZLF,0
500000495,USD,1003,100182,R01,ZLF,0
500000496,USD,1002,100200,R01,ZLF,0
500000497,USD,1002,100200,R01,ZLF,0
500000498,TWD,1006,1002,,ZNL,0
500000499,USD,1001,100118,R01,ZLF,0
500000500,USD,1001,100118,R01,ZLF,0
500000501,TWD,1005,100004,R01,ZLF,"29,400"
500000502,USD,2002,1002,,ZNLC,0
500000503,USD,2002,100207,R01,ZLF,0
500000504,USD,2002,1002,,ZNLC,0
500000505,USD,2002,1002,,ZNLC,0
500000506,USD,2002,1002,,ZNLC,0
500000507,TWD,1001,100124,R01,ZLF,"2,310"
500000508,TWD,1001,100128,R01,ZLF,"14,207"
500000509,USD,2002,1002,,ZNLC,0
500000510,TWD,1006,100310,R01,ZLF,0
500000511,USD,1003,100178,R01,ZLF,"5,822,564"
500000512,USD,1001,100146,R01,ZLF,0
500000513,USD,1003,100182,R01,ZLF,0
500000514,USD,1004,100289,R01,ZLF,"14,563"
500000515,TWD,1001,1007,,ZNL,0
500000516,TWD,1005,100013,R01,ZLF,0
500000517,USD,1003,100180,R01,ZLF,0
500000518,USD,1003,100180,R01,ZLF,0
500000519,USD,1005,100019,R01,ZLF,0
500000520,USD,1001,100161,R01,ZLF,0
500000521,TWD,1005,100018,R01,ZLF,"105,395"
500000522,USD,1005,100023,R01,ZLF,0
500000523,TWD,1001,100123,R01,ZLF,0
500000524,TWD,1005,100013,R01,ZLF,0
500000525,TWD,1005,100012,R01,ZLF,0
500000526,TWD,1005,100011,R01,ZLF,0
500000527,USD,1004,100269,R01,ZLF,0
500000528,USD,1002,2002,,ZNLC,0
500000529,USD,1001,100119,R01,ZLF,0
500000530,USD,1001,100118,R01,ZLF,0
500000531,USD,1001,100118,R01,ZLF,0
500000532,USD,1001,100118,R01,ZLF,0
500000533,TWD,1005,100011,R01,ZLF,0
500000534,TWD,1005,100007,R01,ZLF,"17,926"
500000535,USD,1003,100179,R01,ZLF,0
500000536,USD,1003,100179,R01,ZLF,0
500000537,USD,1003,100179,R01,ZLF,0
500000538,TWD,1003,100188,R01,ZLF,0
500000539,EUR,1004,100271,R01,ZLF,"100,050"
500000540,USD,1003,100178,R01,ZLF,0
500000541,TWD,1005,100008,R01,ZLF,0
500000542,USD,1005,100020,R01,ZLF,0
500000543,TWD,1005,100012,R01,ZLF,0
500000544,USD,2002,100208,R01,ZLF,0
500000545,USD,1001,100118,R01,ZLF,0
500000546,USD,1001,100118,R01,ZLF,0
500000547,TWD,1005,100004,R01,ZLF,"22,050"
500000548,USD,1001,100118,R01,ZLF,0
500000549,USD,1002,2002,,ZNLC,0
500000550,USD,1002,2002,,ZNLC,0
500000551,USD,1002,100200,R01,ZLF,0
500000552,USD,2002,100212,R01,ZLF,0
500000553,USD,1002,2902,R99,ZLF,0
500000554,USD,2002,100207,R01,ZLF,0
500000555,USD,1002,2902,R99,ZLF,0
500000556,USD,2002,100207,R01,ZLF,0
500000557,TWD,1005,100012,R01,ZLF,0
500000558,USD,2002,1002,,ZNLC,0
500000559,USD,1003,100179,R01,ZLF,0
500000560,USD,1003,100179,R01,ZLF,0
500000561,USD,2002,1002,,ZNLC,0
500000562,USD,1003,100176,R01,ZLF,0
500000563,USD,1002,2902,R99,ZLF,0
500000564,TWD,1005,100014,R01,ZLF,0
500000565,TWD,1005,100007,R01,ZLF,"2,600"
500000566,TWD,1006,100310,R01,ZLF,0
500000567,TWD,1007,100042,R01,ZLF,0
500000568,TWD,1001,100134,R01,ZLF,0
500000569,USD,1001,100118,R01,ZLF,0
500000570,USD,1001,100118,R01,ZLF,0
500000571,USD,1001,100118,R01,ZLF,0
500000572,TWD,1005,100012,R01,ZLF,0
500000573,USD,1002,2902,R99,ZLF,0
500000574,USD,2002,100208,R01,ZLF,0
500000575,TWD,1005,100018,R01,ZLF,0
500000576,TWD,1005,100014,R01,ZLF,0
500000577,TWD,1005,100024,R01,ZLF,"42,273"
500000578,TWD,1005,100018,R01,ZLF,0
500000579,USD,1001,100352,R01,ZLF,0
500000580,USD,1002,2902,R99,ZLF,0
500000581,USD,2002,100208,R01,ZLF,0
500000582,USD,2002,100207,R01,ZLF,0
500000583,USD,2002,100207,R01,ZLF,0
500000584,USD,1003,100182,R01,ZLF,0
500000585,USD,1004,100287,R01,ZLF,0
500000586,EUR,1004,100283,R01,ZLF,0
500000587,USD,1005,100023,R01,ZLF,0
500000588,JPY,1002,100195,R01,ZLF,"136,994"
500000589,USD,1003,100178,R01,ZLF,0
500000590,USD,1002,100201,R01,ZLF,0
500000591,USD,1001,100118,R01,ZLF,0
